State,Conservative,Moderate,Liberal,Conservative advantage,N size,Postal Code,ELECTORAL VOTE Trump ®,ELECTORAL VOTE Clinton (D),POPULAR VOTE Trump (R),POPULAR VOTE Clinton (D),POPULAR VOTE All Others,POPULAR VOTE Total Vote,Popular Vote Trump Percent
Alabama,47,31,17,30,"2,958",AL,9,,"1,318,255","729,547","75,570","2,123,372",0.620830924
Alaska,34,37,23,11,545,AK,3,,"163,387","116,454","38,767","318,608",0.512815121
Arizona,36,37,22,14,"4,402",AZ,11,,"1,252,401","1,161,167","159,597","2,573,165",0.486716165
Arkansas,45,34,17,28,"1,926",AR,6,,"684,872","380,494","65,310","1,130,676",0.605719057
California,30,35,29,1,"17,506",CA,,55,"4,483,814","8,753,792","943,998","14,181,604",0.316171147
Colorado,35,36,26,9,"3,539",CO,,9,"1,202,484","1,338,870","238,893","2,780,247",0.432509773
Connecticut,27,38,31,-4,"2,019",CT,,7,"673,215","897,572","74,133","1,644,920",0.409269144
Delaware,32,38,25,7,505,DE,,3,"185,127","235,603","23,084","443,814",0.417127445
Florida,36,35,23,13,"10,720",FL,29,,"4,617,886","4,504,975","297,178","9,420,039",0.490219414
Georgia,39,36,20,19,"5,282",GA,16,,"2,089,104","1,877,963","147,665","4,114,732",0.507713261
Hawaii,28,41,26,2,578,HI,,3**,"128,847","266,891","33,199","428,937",0.30038677
Idaho,45,35,17,28,"1,159",ID,4,,"409,055","189,765","91,435","690,255",0.592614324
Illinois,32,36,28,4,"5,513",IL,,20,"2,146,015","3,090,729","299,680","5,536,424",0.387617531
Indiana,39,36,20,19,"3,905",IN,11,,"1,557,286","1,033,126","144,546","2,734,958",0.569400334
Iowa,40,37,21,19,"2,074",IA,6,,"800,983","653,669","111,379","1,566,031",0.511473272
Kansas,40,37,19,21,"1,793",KS,6,,"671,018","427,005","86,379","1,184,402",0.566545818
Kentucky,42,34,20,22,"2,726",KY,8,,"1,202,971","628,854","92,324","1,924,149",0.625196386
Louisiana,44,34,17,27,"2,409",LA,8,,"1,178,638","780,154","70,240","2,029,032",0.580886847
Maine,31,33,31,0,956,ME,1,3,"335,593","357,735","54,599","747,927",0.448697533
Maryland,29,38,28,1,"3,201",MD,,10,"943,169","1,677,928","160,349","2,781,446",0.339093047
Massachusetts,25,37,33,-8,"3,868",MA,,11,"1,090,893","1,995,196","238,957","3,325,046",0.328083581
Michigan,34,36,24,10,"4,986",MI,16,,"2,279,543","2,268,839","250,902","4,799,284",0.474975642
Minnesota,34,37,25,9,"3,273",MN,,10,"1,322,951","1,367,716","254,146","2,944,813",0.449247881
Mississippi,46,33,15,31,"1,682",MS,6,,"700,714","485,131","23,512","1,209,357",0.579410381
Missouri,42,34,21,21,"3,452",MO,10,,"1,594,511","1,071,068","143,026","2,808,605",0.567723478
Montana,44,34,18,26,"1,086",MT,3,,"279,240","177,709","40,198","497,147",0.561684974
Nebraska,39,35,21,18,"1,404",NE,5,,"495,961","284,494","63,772","844,227",0.587473511
Nevada,36,35,23,13,"1,424",NV,,6,"512,058","539,260","74,067","1,125,385",0.455006953
New Hampshire,34,37,25,9,718,NH,,4,"345,790","348,526","49,980","744,296",0.46458667
New Jersey,31,37,27,4,"4,662",NJ,,14,"1,601,933","2,148,278","123,835","3,874,046",0.413503867
New Mexico,36,37,23,13,"1,451",NM,,5,"319,667","385,234","93,418","798,319",0.400425143
New York,29,35,31,-2,"10,452",NY,,29,"2,819,533","4,556,118","345,791","7,721,442",0.365156275
North Carolina,40,34,20,20,"5,808",NC,15,,"2,362,631","2,189,316","189,617","4,741,564",0.498280947
North Dakota,43,42,12,31,567,ND,3,,"216,794","93,758","33,808","344,360",0.629556278
Ohio,37,37,21,16,"6,354",OH,18,,"2,841,005","2,394,164","261,318","5,496,487",0.516876507
Oklahoma,46,33,16,30,"2,720",OK,7,,"949,136","420,375","83,481","1,452,992",0.653228648
Oregon,31,36,30,1,"2,888",OR,,7,"782,403","1,002,106","216,827","2,001,336",0.390940352
Pennsylvania,36,36,24,12,"8,021",PA,20,,"2,970,733","2,926,441","268,304","6,165,478",0.481833363
Rhode Island,30,41,26,4,600,RI,,4,"180,543","252,525","31,076","464,144",0.388980575
South Carolina,42,36,17,25,"2,795",SC,9,,"1,155,389","855,373","92,265","2,103,027",0.549393327
South Dakota,41,38,16,25,539,SD,3,,"227,721","117,458","24,914","370,093",0.615307504
Tennessee,43,34,17,26,"4,227",TN,11,,"1,522,925","870,695","114,407","2,508,027",0.607220337
Texas,40,35,20,20,"13,565",TX,36*,,"4,685,047","3,877,868","406,311","8,969,226",0.522346856
Utah,44,35,18,26,"2,027",UT,6,,"515,231","310,676","305,523","1,131,430",0.455380359
Vermont,26,32,40,-14,501,VT,,3,"95,369","178,573","41,125","315,067",0.302694348
Virginia,37,36,22,15,"5,123",VA,,13,"1,769,443","1,981,473","233,715","3,984,631",0.444066966
Washington,30,36,30,0,"4,421",WA,,8**,"1,221,747","1,742,718","352,554","3,317,019",0.368326802
West Virginia,41,34,22,19,"1,051",WV,5,,"489,371","188,794","36,258","714,423",0.684987745
Wisconsin,36,37,24,12,"3,433",WI,10,,"1,405,284","1,382,536","188,330","2,976,150",0.472181846
Wyoming,49,33,14,35,529,WY,3,,"174,419","55,973","25,457","255,849",0.681726331
