state,sample_size,LM_display,pcor,Conservative.advantage,,State,n,Log-Log Regression Slope (95% CI),Partial Spearman Correlation (??),Conservative Advantage
VT,176,"0.12 (-0.19, 0.44)",0.28,-14,,VT,177,"-0.09 (-0.29, 0.10)",0.16,-14
MA,7540,"0.05 (0.02, 0.09)",0.13,-8,,MA,6852,"0.12 (0.09, 0.15)",0.13,-8
CT,5002,"0.03 (-0.01, 0.07)",0.1,-4,,CT,4718," 0.09 (0.05, 0.12)",0.25,-4
NY,26078,"0.02 (0, 0.03)",0.1,-2,,NY,22079,"0.14 (0.12, 0.16)",0.27,-2
ME,1005,"0.02 (-0.08, 0.13)",0.13,0,,ME,1067,"0.07 (-0.02, 0.16)",0.24,0
WA,5412,"0 (-0.04, 0.05)",0.11,0,,WA,5008,"0.13 (0.09, 0.17)",0.28,0
CA,33400,"0.01 (-0.01, 0.02)",0.09,1,,CA,28227,"0.17 (0.16, 0.19)",0.27,1
MD,7512,"-0.01 (-0.04, 0.02)",0.08,1,,MD,6864,"0.11 (0.08, 0.15)",0.25,1
OR,2988,"0.04 (-0.02, 0.1)",0.16,1,,OR,2713,"0.13 (0.07, 0.18)",0.22,1
HI,1450,"0.06 (-0.02, 0.14)",0.05,2,,HI,1165,"0.16 (0.09, 0.24)",0.24,2
IL,13874,"0.01 (-0.02, 0.03)",0.11,4,,IL,12674,"0.11 (0.09, 0.14)",0.27,4
NJ,13481,"0.01 (-0.02, 0.03)",0.09,4,,NJ,11802,"0.12 (0.09, 0.14)",0.28,4
RI,1310,"0.04 (-0.04, 0.11)",0.09,4,,RI,1101," 0.10 (0.03, 0.18)",0.19,4
DE,1212,"-0.01 (-0.09, 0.07)",0.04,7,,DE,1189,"0.10 (0.03, 0.18)",0.27,7
CO,4660,"0.01 (-0.03, 0.06)",0.16,9,,CO,4540," 0.13 (0.09, 0.17)",0.29,9
MN,3648,"0.15 (0.09, 0.2)",0.17,9,,MN,2906," 0.08 (0.02, 0.14)",0.24,9
NH,1254,"0.05 (-0.03, 0.13)",0.18,9,, NH,1215," 0.17 (0.09, 0.24)",0.27,9
MI,12245,"-0.01 (-0.03, 0.02)",0.11,10,, MI,11122,"0.15 (0.13, 0.18)",0.27,10
AK,536,"0.01 (-0.11, 0.14)",0.08,11,, AK,518," 0.10 (-0.02, 0.22)",0.17,11
PA,17296,"0.01 (-0.02, 0.03)",0.09,12,, PA,16003," 0.12 (0.10, 0.14)",0.26,12
WI,4317,"0.05 (0, 0.1)",0.16,12,, WI,3945," 0.13 (0.09, 0.17)",0.26,12
FL,24362,"0.04 (0.02, 0.06)",0.12,13,, FL,22586," 0.12 (0.10, 0.13)",0.26,13
NV,2356,"0.01 (-0.05, 0.07)",0.11,13,,NV,2413," 0.05 (0.00, 0.11)",0.24,13
NM,1494,"0.04 (-0.04, 0.12)",0.12,13,, NM,1461," 0.15 (0.08, 0.21)",0.2,13
AZ,6339,"0.02 (-0.02, 0.06)",0.13,14,, AZ,6239," 0.10 (0.07, 0.14)",0.3,14
VA,8294,"-0.01 (-0.05, 0.02)",0.09,15,, VA,7787," 0.13 (0.10, 0.16)",0.28,15
OH,14421,"-0.02 (-0.04, 0.01)",0.07,16,, OH,13060," 0.13 (0.10, 0.15)",0.26,16
NE,2178,"-0.02 (-0.08, 0.04)",0.08,18,, NE,2006," 0.11 (0.06, 0.16)",0.2,18
GA,10359,"0.01 (-0.02, 0.04)",0.09,19,,GA,9269," 0.14 (0.11, 0.17)",0.31,19
IN,7480,"0 (-0.04, 0.03)",0.04,19,, IN,7175," 0.12 (0.09, 0.15)",0.24,19
IA,2955,"0.03 (-0.02, 0.09)",0.17,19,, IA,2683," 0.08 (0.04, 0.13)",0.24,19
WV,2138,"0.03 (-0.04, 0.1)",0.05,19,, WV,2016," 0.17 (0.10, 0.23)",0.33,19
NC,11131,"0.02 (-0.01, 0.05)",0.11,20,, NC,10275," 0.11 (0.09, 0.14)",0.27,20
TX,25933,"0.04 (0.02, 0.06)",0.11,20,, TX,22994," 0.14 (0.12, 0.16)",0.27,20
KS,3156,"-0.02 (-0.07, 0.03)",0.04,21,, KS,2925," 0.17 (0.12, 0.22)",0.27,21
MO,7107,"-0.03 (-0.07, 0.01)",0.09,21,, MO,6581," 0.08 (0.04, 0.11)",0.29,21
KY,5126,"0.03 (-0.02, 0.07)",0.08,22,, KY,4941," 0.14 (0.11, 0.18)",0.28,22
SC,5541,"-0.04 (-0.08, 0)",0.06,25,,SC,5109,"0.18 (0.14, 0.22)",0.35,25
SD,1001,"-0.06 (-0.15, 0.03)",0.11,25,, SD,915,"0.07 (0.00, 0.15)",0.22,25
MT,822,"0.03 (-0.08, 0.14)",0.12,26,,MT,845,"0.14 (0.05, 0.24)",0.23,26
TN,7532,"-0.01 (-0.04, 0.03)",0.08,26,,TN,7026,"0.11 (0.08, 0.14)",0.28,26
UT,2485,"-0.08 (-0.14, -0.02)",0.04,26,, UT,2189,"0.11 (0.05, 0.16)",0.29,26
LA,6343,"0.06 (0.02, 0.1)",0.16,27,,LA,5336,"0.22 (0.18, 0.25)",0.32,27
AR,3095,"0 (-0.06, 0.06)",0.08,28,,AR,2844,"0.13 (0.09, 0.18)",0.29,28
ID,1535,"0.1 (0.03, 0.17)",0.15,28,,ID,1340,"0.11 (0.04, 0.19)",0.24,28
AL,5744,"-0.01 (-0.06, 0.03)",0.1,30,,AL,5109,"0.13 (0.09, 0.16)",0.31,30
OK,4119,"-0.01 (-0.05, 0.04)",0.05,30,,OK,3976,"0.14 (0.10, 0.18)",0.29,30
MS,3527,"0.08 (0.03, 0.13)",0.1,31,,MS,2698,"0.15 (0.11, 0.20)",0.32,31
ND,735,"0.13 (0.02, 0.23)",0.13,31,,ND,711,"0.16 (0.05, 0.26)",0.29,31
WY,443,"0.14 (-0.02, 0.3)",0.08,35,,WY,438,"0.17 (0.03, 0.30)",0.25,35
,6842.94,,0.1054,,,,6176.64,,0.26,
